Name,Artist,Album,Track Number
Enigma Variations - Variation 6 (Andantino),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",7
Enigma Variations - Variation 7 (Presto),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",8
Enigma Variations - Variation 8 (Allegretto),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",9
Enigma Variations - Variation 9 (Adagio),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",10
Enigma Variations - Variation 10 (Intermezzo: Allegretto),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",11
Enigma Variations - Variation 11 (Allegro di molto),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",12
Enigma Variations - Variation 12 (Andante),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",13
Enigma Variations - Variation 13 (Romanza: Moderato),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",14
Enigma Variations - Variation 14 (Finale: Allegro),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",15
In The South (Alassio),Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",16
Serenade for Strings - I. Allegro piacevole,Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",17
Serenade for Strings - II. Larghetto,Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",18
Serenade for Strings - III. Allegretto,Edward Elgar,"Enigma Variations, In the South, Serenade For Strings",19
Adagio in G minor (attrib. to Albinoni),Remo Giazotto,Albinoni: Adagio,1
"String Quartet No. 1 in C Major, Op. 49: I. Moderato",Borodin Quartet,Shostakovich: Complete Quartets,1
"String Quartet No. 1 in C Major, Op. 49: II. Moderato",Borodin Quartet,Shostakovich: Complete Quartets,2
"String Quartet No. 1 in C Major, Op. 49: III. Allegro molto",Borodin Quartet,Shostakovich: Complete Quartets,3
"String Quartet No. 1 in C Major, Op. 49: IV. Allegro",Borodin Quartet,Shostakovich: Complete Quartets,4
"String Quartet No. 2 in A Major, Op. 68: I. Overture",Borodin Quartet,Shostakovich: Complete Quartets,5
"String Quartet No. 2 in A Major, Op. 68: II. Recitative and Romance",Borodin Quartet,Shostakovich: Complete Quartets,6
"String Quartet No. 2 in A Major, Op. 68: III. Waltz",Borodin Quartet,Shostakovich: Complete Quartets,7
